nome_join;Name;Win %;Pick %;Ban %;Presenca_Global %;delta_wr_1p;tendencia_3p;pressao_acumulada;wr_vs_media;Prob_Nerf %;Prob_Buff %
aatrox;Aatrox;47.08;17.4;8.56;25.96;-1.23;0.75;0;0.45;25.0;5.8
ahri;Ahri;45.38;20.84;4.0;24.84;-5.29;-0.85;0;-1.56;1.4;4.3
akali;Akali;41.41;17.45;18.28;35.73;0.38;-0.32;0;-0.26;6.7;1.0
akshan;Akshan;45.92;5.94;2.68;8.62;-0.9;0.15;0;0.38;0.0;13.7
alistar;Alistar;42.46;8.7;1.54;10.24;-0.33;0.59;0;-0.81;0.0;7.3
ambessa;Ambessa;48.48;10.44;7.32;17.76;1.78;0.56;0;1.44;10.1;15.2
amumu;Amumu;40.22;4.77;0.96;5.73;-0.39;-1.48;0;-2.63;0.0;13.0
anivia;Anivia;47.03;8.57;4.02;12.59;0.55;-0.28;0;0.71;0.6;14.2
annie;Annie;46.72;5.86;0.7;6.56;0.26;-1.01;0;-0.52;1.0;51.7
aphelios;Aphelios;43.67;9.15;1.41;10.56;1.33;0.52;0;0.33;0.0;14.4
ashe;Ashe;41.83;24.1;7.1;31.2;-0.86;-0.33;0;-1.04;4.4;0.2
aurelionsol;Aurelion Sol;49.32;4.82;0.66;5.48;1.25;0.25;0;0.37;0.0;42.8
aurora;Aurora;44.34;6.8;1.98;8.78;1.27;-0.36;0;0.41;0.0;17.3
azir;Azir;41.51;3.45;0.27;3.72;-3.45;0.36;0;0.76;0.0;15.2
bard;Bard;38.75;14.94;4.4;19.34;-4.21;-0.76;0;-2.84;0.0;4.8
belveth;Bel'Veth;46.41;4.74;3.59;8.33;-0.48;-0.62;0;-0.46;0.0;8.9
blitzcrank;Blitzcrank;36.48;11.29;11.28;22.57;-0.51;0.3;0;-0.49;9.1;2.2
brand;Brand;49.76;16.74;10.88;27.62;-0.18;-0.35;0;-0.66;37.4;6.8
braum;Braum;39.73;9.32;6.11;15.43;-0.81;-0.62;0;-1.01;0.0;0.7
briar;Briar;47.72;10.3;8.88;19.18;-0.65;0.45;0;0.58;14.4;8.2
caitlyn;Caitlyn;40.72;30.64;21.0;51.64;-0.78;-0.34;0;-1.2;8.8;0.7
camille;Camille;46.9;9.63;1.11;10.74;-1.78;-0.43;0;-1.15;0.0;9.1
