Patch;Campeao;Total_Jogos;Vitorias;Win_Rate (%)
16.9;Ivern;2;2;100,0
16.9;Sett;15;13;86,67
16.9;Ziggs;6;5;83,33
16.9;Singed;10;8;80,0
16.9;Orianna;13;10;76,92
16.9;DrMundo;4;3;75,0
16.9;Urgot;8;6;75,0
16.9;Varus;24;18;75,0
16.9;Garen;19;14;73,68
16.9;Udyr;11;8;72,73
16.9;Galio;7;5;71,43
16.9;Kayle;14;10;71,43
16.9;MissFortune;17;12;70,59
16.9;Diana;13;9;69,23
16.9;Kayn;41;28;68,29
16.9;Malzahar;28;19;67,86
16.9;Yuumi;28;19;67,86
16.9;Belveth;3;2;66,67
16.9;Hwei;12;8;66,67
16.9;Jinx;30;20;66,67
16.9;Kled;9;6;66,67
16.9;Maokai;3;2;66,67
16.9;Pantheon;33;22;66,67
16.9;Skarner;3;2;66,67
16.9;Velkoz;6;4;66,67
16.9;XinZhao;29;19;65,52
16.9;Shen;17;11;64,71
16.9;FiddleSticks;14;9;64,29
16.9;Lucian;27;17;62,96
16.9;Zaahen;8;5;62,5
16.9;Sion;28;17;60,71
16.9;Senna;33;20;60,61
16.9;Leona;15;9;60,0
16.9;Taric;5;3;60,0
16.9;Zilean;10;6;60,0
16.9;Ekko;42;25;59,52
16.9;Ahri;44;26;59,09
16.9;Camille;17;10;58,82
16.9;Janna;17;10;58,82
16.9;Yorick;17;10;58,82
16.9;JarvanIV;12;7;58,33
16.9;Shyvana;36;21;58,33
16.9;Shaco;26;15;57,69
16.9;Yone;26;15;57,69
16.9;Karma;59;34;57,63
16.9;Yasuo;61;35;57,38
16.9;Cassiopeia;14;8;57,14
16.9;Fizz;14;8;57,14
16.9;Zac;7;4;57,14
16.9;Zed;42;24;57,14
16.9;Jax;23;13;56,52
16.9;Draven;16;9;56,25
16.9;Aatrox;25;14;56,0
16.9;Blitzcrank;9;5;55,56
16.9;Neeko;9;5;55,56
16.9;Zeri;9;5;55,56
16.9;Thresh;38;21;55,26
16.9;Akali;29;16;55,17
16.9;Brand;55;30;54,55
16.9;Zyra;11;6;54,55
16.9;Akshan;15;8;53,33
16.9;Twitch;15;8;53,33
16.9;Veigar;15;8;53,33
16.9;Vayne;49;26;53,06
16.9;Anivia;19;10;52,63
16.9;Smolder;97;51;52,58
16.9;Sona;25;13;52,0
16.9;MasterYi;33;17;51,52
16.9;Nami;75;38;50,67
16.9;Ambessa;28;14;50,0
16.9;Chogath;2;1;50,0
16.9;Gangplank;32;16;50,0
16.9;Illaoi;8;4;50,0
16.9;Kaisa;48;24;50,0
16.9;Kalista;2;1;50,0
16.9;Khazix;18;9;50,0
16.9;KogMaw;4;2;50,0
16.9;Lillia;10;5;50,0
16.9;Lux;50;25;50,0
16.9;Nidalee;2;1;50,0
16.9;Nunu;6;3;50,0
16.9;Quinn;12;6;50,0
16.9;Renata;2;1;50,0
16.9;Syndra;10;5;50,0
16.9;Taliyah;4;2;50,0
16.9;Talon;24;12;50,0
16.9;Teemo;20;10;50,0
16.9;Trundle;6;3;50,0
16.9;Vex;8;4;50,0
16.9;Viktor;30;15;50,0
16.9;Xayah;10;5;50,0
16.9;Zoe;18;9;50,0
16.9;Malphite;35;17;48,57
16.9;Ashe;48;23;47,92
16.9;TahmKench;23;11;47,83
16.9;Xerath;21;10;47,62
16.9;Katarina;38;18;47,37
16.9;Jayce;17;8;47,06
16.9;Sylas;34;16;47,06
16.9;Braum;15;7;46,67
16.9;Hecarim;15;7;46,67
16.9;Ornn;15;7;46,67
16.9;Azir;26;12;46,15
16.9;LeeSin;39;18;46,15
16.9;Swain;13;6;46,15
16.9;Milio;37;17;45,95
16.9;Bard;22;10;45,45
16.9;Irelia;33;15;45,45
16.9;Tryndamere;11;5;45,45
16.9;Volibear;11;5;45,45
16.9;Lulu;42;19;45,24
16.9;Ezreal;80;36;45,0
16.9;Rengar;20;9;45,0
16.9;Aphelios;9;4;44,44
16.9;Fiora;9;4;44,44
16.9;Briar;16;7;43,75
16.9;Evelynn;16;7;43,75
16.9;Gragas;28;12;42,86
16.9;KSante;7;3;42,86
16.9;Kindred;7;3;42,86
16.9;Nilah;7;3;42,86
16.9;Warwick;14;6;42,86
16.9;Darius;31;13;41,94
16.9;Annie;12;5;41,67
16.9;Corki;12;5;41,67
16.9;Yunara;24;10;41,67
16.9;Viego;29;12;41,38
16.9;Mel;17;7;41,18
16.9;Qiyana;17;7;41,18
16.9;Naafiri;39;16;41,03
16.9;AurelionSol;10;4;40,0
16.9;Caitlyn;50;20;40,0
16.9;Heimerdinger;5;2;40,0
16.9;Poppy;15;6;40,0
16.9;Rell;5;2;40,0
16.9;Samira;15;6;40,0
16.9;Nocturne;23;9;39,13
16.9;Alistar;18;7;38,89
16.9;Vladimir;36;14;38,89
16.9;Soraka;31;12;38,71
16.9;Morgana;13;5;38,46
16.9;Elise;8;3;37,5
16.9;Olaf;8;3;37,5
16.9;Rakan;8;3;37,5
16.9;Ryze;16;6;37,5
16.9;Sejuani;8;3;37,5
16.9;MonkeyKing;11;4;36,36
16.9;Riven;14;5;35,71
16.9;Jhin;40;14;35,0
16.9;Renekton;20;7;35,0
16.9;Amumu;9;3;33,33
16.9;Leblanc;12;4;33,33
16.9;Mordekaiser;15;5;33,33
16.9;RekSai;6;2;33,33
16.9;Rumble;9;3;33,33
16.9;Sivir;9;3;33,33
16.9;TwistedFate;16;5;31,25
16.9;Lissandra;20;6;30,0
16.9;Pyke;10;3;30,0
16.9;Seraphine;50;15;30,0
16.9;Tristana;10;3;30,0
16.9;Aurora;7;2;28,57
16.9;Gwen;14;4;28,57
16.9;Rammus;14;4;28,57
16.9;Kennen;11;3;27,27
16.9;Nautilus;11;3;27,27
16.9;Vi;11;3;27,27
16.9;Karthus;15;4;26,67
16.9;Graves;23;6;26,09
16.9;Kassadin;10;2;20,0
16.9;Gnar;16;3;18,75
16.9;Nasus;9;1;11,11
16.12;FiddleSticks;205;119;58,05
16.12;Illaoi;162;93;57,41
16.12;Kled;155;88;56,77
16.12;Shyvana;393;223;56,74
16.12;Fiora;305;169;55,41
16.12;Nilah;123;68;55,28
16.12;Vex;200;110;55,0
16.12;Vi;297;163;54,88
16.12;Zac;208;114;54,81
16.12;Brand;649;355;54,7
16.12;Velkoz;350;191;54,57
16.12;Seraphine;1113;607;54,54
16.12;Amumu;145;79;54,48
16.12;Cassiopeia;136;74;54,41
16.12;Bard;503;273;54,27
16.12;Akshan;177;96;54,24
16.12;Lillia;146;79;54,11
16.12;Hwei;657;355;54,03
